Category,Sub Category,Sub Sub Category,Information Required From Client ,Question,Sample Answer
Room Types,FAQs,Availability,"Check-in Date,Check-out Date,Number of Guests",Can you please tell if there are any rooms available for next weekend?,"Thank you for considering Taj hotel for your upcoming stay. To better assist you, could you kindly provide the specific dates you would like to check-in and check-out? "
Room Types,FAQs,Availability,"Number of Guests,Check-out date",Can you check if there are any rooms available for 15 March?,"I've checked our availability for {Date}, and I'm pleased to inform you that we do have rooms available for that date. If you'd like to proceed with booking, please let me know, and I'll be happy to assist you further."
Room Types,FAQs,Availability,"Number of Guests,Check-out date",Can you check if there are any rooms available for 15 March?,"I've checked our availability for {Date}, and I'm sorry to inform you that we do not have rooms available for those dates. We have rooms available on {Date} and {Date}, though."" Incase you plan to travel early or later."
Payments,Requests,Payment/offer,"Guest Identification,Time Frame,Email Address",Can you send the invoice for my last stay to my email?,"To send an invoice to your email, we'll need to confirm your booking details. Please provide your room number or phone number and dates of stay."
Payments,Recommendations ,Payment/offer,Booking Information,How can I review the charges made to my room during my stay?,"To review detailed billing information, please provide your phone number and the name your room was booked under."
Policies,Confirmations,Cancel/Refund,Booking Details,Can I cancel my booking?,"Yes, booking cancellation is allowed 24-48 hours before check-in. Please inform us within this time frame if you wish to cancel your booking."
Policies,Confirmations,Cancel/Refund,Booking Details,Will I get full refund on my cancellation?,"Yes, you will receive a full refund if canceled before 72 hours of check-in, a 50% refund if canceled before 48 hours of check-in, and a 20% refund if canceled less than 24 hours before check-in."
Customer Account,Confirmations,Customer Account ,Booking Details,What's the status of my refund request for the canceled booking?,"For refund status, we need your booking ID and the name under which the reservation was made to retrieve the information."
Feedback,Instructions,Feedback,"Booking Details,Specific Incident Details",How do I log a complaint about the room service I received?,"To log a complaint, please provide us with your room number, the date of the incident, and a brief description of the issue."
Reservations,Instructions,Reservation,"Reservation Details,New check-in date,New check-out date",I need to change the dates of my reservation. How can I do that?,"To change your reservation dates, please provide your booking ID and the new dates you're requesting."
Services,Requests,Event/Activity,"Type of Surprise,Date of surprise,Room Reservation Details,Personalization",Can I have a surprise arrangement made for my partner's birthday?,"For special arrangements, please provide details about your request, and we'll do our best to accommodate it."
Customer Account,Issues,Customer Account ,"Reservation Details,Account details",Why are all my future reservations not listed on my reservations list?,"I'm sorry to hear about the trouble with your reservations not appearing on your list. 
There could be several reasons for this discrepancy, such as technical issues, data synchronization delays, or discrepancies in the reservation process. 
To address this promptly, I recommend reaching out to our customer support team with your account details and reservation information. They'll be able to investigate the matter thoroughly and provide you with a resolution."
