Category,Sub Category,Sub Sub Category,Question type,Information Required From Client,Question,Sample Answer
Room,Availability,Booking,Database,"Number of Guests,Check-out date
",Can you check if there are any rooms available for 15 March?,"I've checked our availability for {Date}, and I'm pleased to inform you that we do have rooms available for that date. If you'd like to proceed with booking, please let me know, and I'll be happy to assist you further."
Customer Account,Payment/offer,Invoice,Database,"Guest Identification,Time Frame,Email Address",Can you send the invoice for my last stay to my email?,"To send an invoice to your email, we'll need to confirm your booking details. Please provide your room number or phone number and dates of stay."
Customer Account,Payment/offer,Stay charges,Database,Booking Information,How can I review the charges made to my room during my stay?,"To review detailed billing information, please provide your phone number and the name your room was booked under."
Policies,Cancel/Refund,Cancellation,FAQs,NA,Can I cancel my booking?,"Yes, booking cancellation is allowed 24-48 hours before check-in. Please inform us within this time frame if you wish to cancel your booking."
Policies,Cancel/Refund,Refund,FAQs,NA,Will I get full refund on my cancellation?,"No, refunds will not be provided, and the rooms are non-refundable. Once booked, the reservation is considered final, and cancellations will not result in a refund."
Customer Account,Customer Account,Refund Status,Database,"Booking Details
",What's the status of my refund request for the canceled booking?,"For refund status, we need your booking ID and the name under which the reservation was made to retrieve the information."
Feedback,Feedback,Complaint,Database,"Booking Details,Specific Incident Details
",How do I log a complaint about the room service I received?,"To log a complaint, please provide us with your room number, the date of the incident, and a brief description of the issue."
Reservations,Reservation,Modify,Database,"Reservation Details,New check-in date,New check-out date
",I need to change the dates of my reservation. How can I do that?,"To change your reservation dates, please provide your booking ID and the new dates you're requesting."
Customer Account,Customer Account,My reservations,FAQs,NA,Why are all my future reservations not listed on my reservations list?,"I'm sorry to hear about the trouble with your reservations not appearing on your list. 
There could be several reasons for this discrepancy, such as technical issues, data synchronization delays, or discrepancies in the reservation process. 
To address this promptly, I recommend reaching out to our customer support team with your account details and reservation information. They'll be able to investigate the matter thoroughly and provide you with a resolution."
Policies,Check In/Check Out,Check In/Check Out time,FAQs,NA,What are the check-in and check-out times?,"Check-in is at 1 PM, and check-out is at 11 AM. Early check-in or late check-out can be arranged based on availability."
Amenities,Services,Wi-Fi,FAQs,NA,How can I access the hotel Wi-Fi?,"Wi-Fi is available throughout the hotel and is complimentary. To access the Wi-Fi, connect to 'HotelGuest' network and use the provided password. If no password was provided, you can use your phone number as the password."
Policies,Services,Extra bed,FAQs,NA,Can I request an extra bed or crib in my room?,"We can provide an extra bed or crib upon request, subject to availability. There may be an additional charge for an extra bed."
Policies,Policy,Pets,FAQs,NA,Are pets allowed in the hotel?,Pets are welcome with prior notice and a fee of [insert fee] per stay. Please refer to our pet policy for details.
Nearby Attractions/needs,Attractions,nearby attractions,FAQs,NA,What are some must-see attractions nearby?,Our city has many attractions to offer. Our reception team can provide you with a map and recommendations.
Policies,Policy,Smoking,FAQs,NA,What is the hotel's smoking policy?,Our hotel is entirely non-smoking. Smoking is permitted in designated outdoor areas only.
